function,algorithm,dim,run,best_f
Sphere,PSO,30,0,8.4635120270e-06
Sphere,PSO,30,1,9.6747465733e-07
Sphere,PSO,30,2,3.1639328743e-07
Sphere,PSO,30,3,4.7408307445e-06
Sphere,PSO,30,4,8.7525545023e-06
Sphere,DE,30,0,1.8787163947e-03
Sphere,DE,30,1,2.8800556545e-03
Sphere,DE,30,2,2.1777180432e-03
Sphere,DE,30,3,2.9489356358e-03
Sphere,DE,30,4,1.4838910198e-03
Sphere,GWO,30,0,8.6668659999e+02
Sphere,GWO,30,1,2.5447258983e+03
Sphere,GWO,30,2,8.4591831977e+02
Sphere,GWO,30,3,1.6275323558e+02
Sphere,GWO,30,4,2.3785053419e+03
Rosenbrock,PSO,30,0,2.7059181384e+01
Rosenbrock,PSO,30,1,3.0460934210e+01
Rosenbrock,PSO,30,2,2.9395569964e+01
Rosenbrock,PSO,30,3,2.5920310196e+01
Rosenbrock,PSO,30,4,2.8460568640e+01
Rosenbrock,DE,30,0,1.1655267247e+03
Rosenbrock,DE,30,1,2.7686585199e+01
Rosenbrock,DE,30,2,8.1505249869e+02
Rosenbrock,DE,30,3,2.8907013871e+01
Rosenbrock,DE,30,4,2.9529151163e+02
Rosenbrock,GWO,30,0,2.7577363776e+05
Rosenbrock,GWO,30,1,9.1949105114e+04
Rosenbrock,GWO,30,2,2.1007293305e+04
Rosenbrock,GWO,30,3,2.5128123825e+04
Rosenbrock,GWO,30,4,1.9301203771e+05
Rastrigin,PSO,30,0,7.4621549717e+01
Rastrigin,PSO,30,1,1.0546518263e+02
Rastrigin,PSO,30,2,9.0541003718e+01
Rastrigin,PSO,30,3,7.8601584233e+01
Rastrigin,PSO,30,4,1.0646024199e+02
Rastrigin,DE,30,0,1.7559168754e+02
Rastrigin,DE,30,1,2.0254917739e+02
Rastrigin,DE,30,2,2.2131651626e+02
Rastrigin,DE,30,3,2.2509722644e+02
Rastrigin,DE,30,4,1.9355899012e+02
Rastrigin,GWO,30,0,6.9415667305e+01
Rastrigin,GWO,30,1,7.9907107447e+01
Rastrigin,GWO,30,2,2.2467749923e+02
Rastrigin,GWO,30,3,9.5784662643e+01
Rastrigin,GWO,30,4,5.9226522217e+01
Ackley,PSO,30,0,2.0133235525e+00
Ackley,PSO,30,1,1.7779982312e+00
Ackley,PSO,30,2,2.8138494817e+00
Ackley,PSO,30,3,1.7780000757e+00
Ackley,PSO,30,4,1.7780014847e+00
Ackley,DE,30,0,6.8319211822e-03
Ackley,DE,30,1,5.1571699957e-02
Ackley,DE,30,2,3.1663526280e-02
Ackley,DE,30,3,4.0219099061e-02
Ackley,DE,30,4,1.3017059787e-02
Ackley,GWO,30,0,6.7312803026e+00
Ackley,GWO,30,1,6.2737887423e+00
Ackley,GWO,30,2,9.4956014526e+00
Ackley,GWO,30,3,6.5613868613e+00
Ackley,GWO,30,4,6.3265085430e+00
Griewank,PSO,30,0,2.8753658520e-02
Griewank,PSO,30,1,1.9866916553e-02
Griewank,PSO,30,2,3.9367164241e-02
Griewank,PSO,30,3,1.4605947920e-04
Griewank,PSO,30,4,2.4874412625e-02
Griewank,DE,30,0,1.0613460667e-02
Griewank,DE,30,1,1.2616079436e-01
Griewank,DE,30,2,2.6056619088e-02
Griewank,DE,30,3,2.4232504256e-02
Griewank,DE,30,4,2.0713554994e-02
Griewank,GWO,30,0,8.8001793991e+00
Griewank,GWO,30,1,2.3902532796e+01
Griewank,GWO,30,2,8.6132649140e+00
Griewank,GWO,30,3,2.4647791203e+00
Griewank,GWO,30,4,2.2406548075e+01
Schwefel,PSO,30,0,4.7498262044e+03
Schwefel,PSO,30,1,4.0090610014e+03
Schwefel,PSO,30,2,5.1608714579e+03
Schwefel,PSO,30,3,4.4003558115e+03
Schwefel,PSO,30,4,5.4885304124e+03
Schwefel,DE,30,0,6.1909362667e+03
Schwefel,DE,30,1,6.1224877266e+03
Schwefel,DE,30,2,5.8960040058e+03
Schwefel,DE,30,3,1.0285967536e+03
Schwefel,DE,30,4,4.9356746795e+03
Schwefel,GWO,30,0,7.5353418751e+03
Schwefel,GWO,30,1,7.4564635372e+03
Schwefel,GWO,30,2,4.8292287233e+03
Schwefel,GWO,30,3,7.8678113834e+03
Schwefel,GWO,30,4,3.6163239851e+03
